Train split size,accuracy,precision,recall,f1
0.05,0.7988095238095239,0.8131286774249086,0.7988095238095239,0.795629835403027
0.1,0.8952380952380953,0.9131479838312138,0.8952380952380953,0.8905943503738079
0.15000000000000002,0.905952380952381,0.887627002188542,0.905952380952381,0.8919271958462133
0.2,0.9380952380952381,0.9549948287564747,0.9380952380952381,0.9365416412429779
0.25,0.9726190476190476,0.9752855107810238,0.9726190476190476,0.9723101352469994
0.3,0.9702380952380952,0.9766320686157643,0.9702380952380952,0.969729107346719
0.35000000000000003,0.9785714285714285,0.9812877928949357,0.9785714285714285,0.9786107628871933
0.4,0.9857142857142858,0.9868010725466867,0.9857142857142858,0.9856866195451484
0.45,0.9785714285714285,0.9817614387926888,0.9785714285714285,0.9785354327386596
0.5,0.9809523809523809,0.9832258035633321,0.9809523809523809,0.9809955496256568
0.55,0.9845238095238096,0.9861455201041769,0.9845238095238096,0.9843476447874496
0.6000000000000001,0.9904761904761905,0.9912790739517713,0.9904761904761905,0.990388341453548
0.6500000000000001,0.9892857142857143,0.9902162872999442,0.9892857142857143,0.9893188362273634
0.7000000000000001,0.9904761904761905,0.9912439749990153,0.9904761904761905,0.9905662459165474
0.7500000000000001,0.9892857142857143,0.9907464162821306,0.9892857142857143,0.9893851586400869
0.8,0.9892857142857143,0.9901171624009424,0.9892857142857143,0.9892888302061094
