Train split size,accuracy,precision,recall,f1
0.05,0.7569444444444444,0.8168635197437616,0.7569444444444444,0.752753468094404
0.1,0.9138888888888889,0.9314879795342874,0.9138888888888889,0.9132315832599177
0.15000000000000002,0.9527777777777777,0.9594162315510999,0.9527777777777777,0.9524337821936505
0.2,0.9513888888888888,0.9663945952491985,0.9513888888888888,0.9462970234482329
0.25,0.975,0.978353835978836,0.975,0.9753432577154415
0.3,0.9694444444444444,0.9741457578502415,0.9694444444444444,0.9689237693617788
0.35000000000000003,0.9875,0.9886129232010978,0.9875,0.9875168296494575
0.4,0.9875,0.9881077560595818,0.9875,0.9874513554402264
0.45,0.9625,0.9728292503125194,0.9625,0.9648229509460985
0.5,0.9916666666666667,0.9920571789321788,0.9916666666666667,0.9916315270665971
0.55,0.9916666666666667,0.9928193115364168,0.9916666666666667,0.9916610346447265
0.6000000000000001,0.9875,0.9896113847837985,0.9875,0.9879090629670968
0.6500000000000001,0.9888888888888889,0.989597222222222,0.9888888888888889,0.9889995620300704
0.7000000000000001,0.9916666666666667,0.9922397660818714,0.9916666666666667,0.9916027300073352
0.7500000000000001,0.9902777777777778,0.9906044546340597,0.9902777777777778,0.9903223517349152
0.8,0.9916666666666667,0.99204554947976,0.9916666666666667,0.9916290152148899
