Train split size,accuracy,precision,recall,f1
0.05,0.9305555555555556,0.9460934942877128,0.9305555555555556,0.9323168822032671
0.060000000000000005,0.9472222222222222,0.96249761200053,0.9472222222222222,0.9487690007621581
0.07,0.9597222222222223,0.9629526345833817,0.9597222222222223,0.9601655893874538
0.08000000000000002,0.9791666666666666,0.981820427140231,0.9791666666666666,0.9794305703390332
0.09000000000000001,0.9819444444444444,0.9864736260116694,0.9819444444444444,0.9815148484457428
0.1,0.975,0.9777464872547387,0.975,0.9753988915257925
0.11000000000000001,0.9944444444444445,0.9946275335076823,0.9944444444444445,0.9944509364398257
0.12000000000000001,0.9930555555555556,0.9937029129284564,0.9930555555555556,0.9930107016961477
0.13,0.9972222222222222,0.9973457400087835,0.9972222222222222,0.9972190602546058
0.14,0.9958333333333333,0.9960229886860321,0.9958333333333333,0.9958373281274253
0.15000000000000002,0.9888888888888889,0.9903912993137131,0.9888888888888889,0.9888525099991599
0.16000000000000003,0.9986111111111111,0.9986742424242424,0.9986111111111111,0.998609454714106
0.17000000000000004,0.9986111111111111,0.9986742424242424,0.9986111111111111,0.998609454714106
0.18000000000000005,0.9916666666666667,0.9925868414998849,0.9916666666666667,0.9917381667940611
0.19,0.9986111111111111,0.9986742424242424,0.9986111111111111,0.998609454714106
0.2,0.9958333333333333,0.995966819221968,0.9958333333333333,0.9958327902636847
