Train split size,accuracy,precision,recall,f1
0.05,0.8154761904761905,0.8254931489637466,0.8154761904761905,0.8085832812803281
0.060000000000000005,0.8690476190476191,0.8860695080840639,0.8690476190476191,0.8603988294926445
0.07,0.8773809523809524,0.8894851018018392,0.8773809523809524,0.8723096746902211
0.08000000000000002,0.8809523809523809,0.8911756545405005,0.8809523809523809,0.8757444126814846
0.09000000000000001,0.8928571428571429,0.8830036127394468,0.8928571428571429,0.8805024590205893
0.1,0.9035714285714286,0.9202672563718071,0.9035714285714286,0.8997986673713052
0.11000000000000001,0.9166666666666666,0.9260697022476968,0.9166666666666666,0.9145874926232257
0.12000000000000001,0.9095238095238095,0.929390358547881,0.9095238095238095,0.9048004173022758
0.13,0.9166666666666666,0.9203487096694871,0.9166666666666666,0.9142553658270465
0.14,0.9321428571428572,0.9354450987199789,0.9321428571428572,0.9316380139958333
0.15000000000000002,0.9166666666666666,0.9291278261967918,0.9166666666666666,0.9145752332840227
0.16000000000000003,0.9357142857142857,0.9357248895937758,0.9357142857142857,0.9293636244704137
0.17000000000000004,0.930952380952381,0.9387939973147013,0.930952380952381,0.9302580280147201
0.18000000000000005,0.9428571428571428,0.9519376433794224,0.9428571428571428,0.9419685957787144
0.19,0.9488095238095238,0.9512120812392552,0.9488095238095238,0.947088136605332
0.2,0.9523809523809523,0.9586102748890105,0.9523809523809523,0.9518276058493509
