Train split size,accuracy,precision,recall,f1
0.05,0.7986111111111112,0.8573046235410287,0.7986111111111112,0.7868152638866176
0.1,0.9277777777777778,0.9384259402797583,0.9277777777777778,0.9265979069997688
0.15000000000000002,0.9708333333333333,0.973419441641513,0.9708333333333333,0.9707821636648795
0.2,0.9680555555555556,0.9705644538790954,0.9680555555555556,0.9673020309291226
0.25,0.9861111111111112,0.9877687672739159,0.9861111111111112,0.9862214896663918
0.3,0.9944444444444445,0.9946200178751665,0.9944444444444445,0.9944101037205497
0.35000000000000003,0.9888888888888889,0.9895785172889747,0.9888888888888889,0.9889096031920197
0.4,0.9888888888888889,0.9892775737902655,0.9888888888888889,0.9888458808492645
0.45,0.9902777777777778,0.9912724297573435,0.9902777777777778,0.9903779021788289
0.5,0.9958333333333333,0.9959390964240104,0.9958333333333333,0.9958255480457293
0.55,0.9930555555555556,0.9932978203358639,0.9930555555555556,0.9930531100364284
0.6000000000000001,0.9902777777777778,0.9914597794446933,0.9902777777777778,0.9900954887181092
0.6500000000000001,0.9958333333333333,0.9964285714285714,0.9958333333333333,0.9958333333333333
0.7000000000000001,0.9916666666666667,0.9919781746031747,0.9916666666666667,0.9916600228514126
0.7500000000000001,0.9930555555555556,0.9933504297634731,0.9930555555555556,0.9930415895134377
0.8,0.9986111111111111,0.9986689814814815,0.9986111111111111,0.9986080802570165
