Train split size,accuracy,precision,recall,f1
0.05,0.9180555555555555,0.9285181332899226,0.9180555555555555,0.9172685710991386
0.060000000000000005,0.95,0.962747626053971,0.95,0.9506326129122278
0.07,0.9555555555555556,0.9605691422830714,0.9555555555555556,0.9554031277895795
0.08000000000000002,0.9666666666666667,0.9752625487329435,0.9666666666666667,0.9660441325483605
0.09000000000000001,0.9833333333333333,0.9842382154882154,0.9833333333333333,0.9834223646723647
0.1,0.9847222222222223,0.9863020081770082,0.9847222222222223,0.9848515444769128
0.11000000000000001,0.9916666666666667,0.9925056726687161,0.9916666666666667,0.9916580385889331
0.12000000000000001,0.9888888888888889,0.9894759160974331,0.9888888888888889,0.988882786217952
0.13,0.9944444444444445,0.9950256642512076,0.9944444444444445,0.994488887077676
0.14,0.9916666666666667,0.99268538647343,0.9916666666666667,0.9917203209700558
0.15000000000000002,0.9930555555555556,0.9937352645447611,0.9930555555555556,0.9931190673707083
0.16000000000000003,0.9972222222222222,0.9973457400087835,0.9972222222222222,0.9972241820142791
0.17000000000000004,0.9916666666666667,0.9929545454545455,0.9916666666666667,0.9918753293353444
0.18000000000000005,0.9986111111111111,0.9986742424242424,0.9986111111111111,0.998609454714106
0.19,0.9930555555555556,0.9943910256410257,0.9930555555555556,0.9930964576531952
0.2,0.9902777777777778,0.9912093763724199,0.9902777777777778,0.9903864813151879
