Train split size,accuracy,precision,recall,f1
0.05,0.018055555555555554,0.013498933265062294,0.018055555555555554,0.013569296399898848
0.1,0.0125,0.008472396203881216,0.0125,0.009531445438668299
0.15000000000000002,0.029166666666666667,0.031778607625794326,0.029166666666666667,0.03011006323169833
0.2,0.0125,0.05690330759775204,0.0125,0.01746479351116174
0.25,0.009722222222222222,0.005411231884057971,0.009722222222222222,0.006901326542611754
0.3,0.027777777777777776,0.06261425765592432,0.027777777777777776,0.02193939348834323
0.35000000000000003,0.018055555555555554,0.019258498837001255,0.018055555555555554,0.015510004946648023
0.4,0.013888888888888888,0.01320773443580461,0.013888888888888888,0.012748077400148846
0.45,0.019444444444444445,0.06796478634988319,0.019444444444444445,0.017837993312337944
0.5,0.025,0.01767755140931092,0.025,0.017361142218645948
0.55,0.009722222222222222,0.01930644586894587,0.009722222222222222,0.00875795831152974
0.6000000000000001,0.029166666666666667,0.026885259134105225,0.029166666666666667,0.02529781468213354
0.6500000000000001,0.009722222222222222,0.03789646464646465,0.009722222222222222,0.012830174897007638
0.7000000000000001,0.03611111111111111,0.03097044932520622,0.03611111111111111,0.029057014791827464
0.7500000000000001,0.03611111111111111,0.030383040842599667,0.03611111111111111,0.030998695619850903
0.8,0.029166666666666667,0.0299385868469154,0.029166666666666667,0.01937270426183353
