Train split size,accuracy,precision,recall,f1
0.05,0.9180555555555555,0.9335451315305804,0.9180555555555555,0.918995380534476
0.1,0.9805555555555555,0.9822692731916869,0.9805555555555555,0.9808308947059359
0.15000000000000002,0.9986111111111111,0.9986742424242424,0.9986111111111111,0.998609454714106
0.2,0.9930555555555556,0.9934232677653732,0.9930555555555556,0.9930806156590951
0.25,0.9958333333333333,0.9961111111111112,0.9958333333333333,0.9958708202129256
0.3,0.9986111111111111,0.9986842105263158,0.9986111111111111,0.9986129422105032
0.35000000000000003,0.9847222222222223,0.9905172413793104,0.9847222222222223,0.9841854515588409
0.4,0.9972222222222222,0.9974637681159421,0.9972222222222222,0.9971785159285158
0.45,1.0,1.0,1.0,1.0
0.5,0.9930555555555556,0.9940293742017882,0.9930555555555556,0.9932468413689913
0.55,1.0,1.0,1.0,1.0
0.6000000000000001,1.0,1.0,1.0,1.0
0.6500000000000001,0.9902777777777778,0.992798353909465,0.9902777777777778,0.9906599701869824
0.7000000000000001,1.0,1.0,1.0,1.0
0.7500000000000001,0.9958333333333333,0.9961462450592885,0.9958333333333333,0.9958285208844152
0.8,0.9986111111111111,0.9986842105263158,0.9986111111111111,0.9986129422105032
