Train split size,accuracy,precision,recall,f1
0.05,0.925,0.9394283839298206,0.925,0.9264966455890006
0.1,0.9833333333333333,0.986164021164021,0.9833333333333333,0.9828814325404481
0.15000000000000002,0.9791666666666666,0.9848635161135161,0.9791666666666666,0.9804031680138313
0.2,0.9986111111111111,0.9986742424242424,0.9986111111111111,0.998609454714106
0.25,0.9972222222222222,0.9973432143577334,0.9972222222222222,0.9972231338321148
0.3,0.9972222222222222,0.9973856209150327,0.9972222222222222,0.9972011784511785
0.35000000000000003,1.0,1.0,1.0,1.0
0.4,0.9986111111111111,0.998671497584541,0.9986111111111111,0.9986096055404999
0.45,1.0,1.0,1.0,1.0
0.5,0.9986111111111111,0.9986772486772486,0.9986111111111111,0.9986111111111111
0.55,1.0,1.0,1.0,1.0
0.6000000000000001,1.0,1.0,1.0,1.0
0.6500000000000001,1.0,1.0,1.0,1.0
0.7000000000000001,1.0,1.0,1.0,1.0
0.7500000000000001,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
